parent_name,relation,idFrame,idEntity,name
Eventive_affecting,,1027,4212,Influencing_potential
Artifact,,621,3806,Ingredients
Intentionally_affect,,686,3871,Installing
Type,,121,3306,Instance
Intentionally_affect,,736,3921,Institutionalization
Locale,,389,3574,Isolated_places
Mental_activity,,23,3208,Judgment
Communication,,197,3382,Judgment_communication
Communication,,416,3601,Justifying
Entity_relation,,95,3280,Kinship
Intentionally_act,,958,4143,Labor_product
Process_start,,926,4111,Launch_process
Entity_relation,,67,3252,Leadership
Cause_change,,516,3701,Left_to_do
Social_attributes,,409,3594,Legality
Status_of_entity,,1391,24039,Level_of_force_exertion
Status_of_entity,,1392,24040,Level_of_force_resistance
Phenomenon,,120,3305,Light_movement
State_of_entity,,1143,4328,Limitation
Representing,,375,3560,Linguistic_meaning
State_of_entity,,1048,4233,Living_conditions
Locale,,1082,4267,Locale_closure
Perception,,460,3645,Locating
Transition_to_state,,494,3679,Losing_it
Perception,,967,4152,Losing_track_of
Artifact,,1462,1548193,Machinery
Intentionally_act,,1531,1555986,Maintenance
Intentionally_act,,616,3801,Make_agreement_on_action
Mental_activity,,227,3412,Make_cognitive_connection
Phenomenon,,63,3248,Make_noise
Intentionally_act,,462,3647,Making_faces
Quality,,1047,4232,Manner
Manner,,1046,4231,Manner_of_life
Artifact,,1292,17796,Means_of_transportation
Relation,,885,4070,Medium
Intentionally_act,,982,4167,Meet_with
Mental_activity,,124,3309,Memory
Motion,,440,3625,Moving_in_place
Entity_relation,,595,3780,Namesake
State_of_entity,,629,3814,Needing
Stative_configuration,,730,3915,Network
State_of_entity,,633,3818,Occupy_rank
Intentionally_act,,400,3585,Offenses
Intentionally_act,,983,4168,Offering
State_of_entity,,1393,24041,Offshoot
Intentionally_act,,604,3789,Operational_testing
Subjective_state,,644,3829,Opinion
State_of_entity,,1011,4196,Opportunity
Phenomenon,,995,4180,Optical_image
Representing,,549,3734,Ordinal_numbers
Comunication,,1560,1557353,Organização_da_conversa
Comunication,,1561,1557355,Organization_of_conversation
Process_start,,535,3720,Origin
Event,,546,3731,Participation
Attributes,,55,3240,Path_shape
Motion,,713,3898,Path_traveled
Representing,,947,4132,Pattern
People,,1113,4298,People_by_military_specialty
People,,1417,48010,People_by_social_framing
Perception,,62,3247,Perception_body
Entity,,382,3567,Performers_and_roles
Intentionally_act,,374,3559,Performing_arts
Entity_relation,,93,3278,Personal_relationship
Motion,,1049,4234,Planned_trajectory
Comunication,,727,3912,Point_of_dispute
Eventive_attributes,,941,4126,Possibility
Eventive_affecting,,1394,24042,Presentation_of_mitigation
Communication,,262,3447,Prevarication
Intentionally_act,,1395,24043,Preventing_or_letting
Eventive_attributes,,1012,4197,Probability
