idFrame,name,Count
524,Pessoas_por_vocação,37
183,Vias,24
252,Alimentos_e_bebidas,24
278,Pessoas,22
157,Prédios,21
58,Auto_movimento,17
390,Artefato,17
30,Gesto,16
398,Veículo,13
60,Percepção_ativa,10
171,Locais_naturais,10
147,Expressão_facial,9
1375,Partes_do_corpo,9
337,Negócios,8
490,Peça_arquitetônica,8
571,Alvo,8
611,Substâncias,8
956,Causar_perceber,8
1184,Animais,8
3,Movimento,7
176,Locais_por_uso,7
196,Números_cardinais,7
492,Pessoas_por_idade,7
13,Postura,6
206,Unidade_calêndrica,6
237,Abundante_em,6
238,Ingestão,6
275,Rito,6
462,Fazer_cara,6
11,Movimento_corporal,5
491,Idade,5
621,Ingredientes,5
1414,Móveis,5
72,Recipientes,4
96,Localização_de_luz,4
123,Vestuário,4
131,Parte_orientacional,4
169,Subpartes_de_prédios,4
216,Transportar,4
226,Entidade,4
272,Texto,4
479,Conversar,4
486,Atributos_mensuráveis,4
623,Alcance,4
1253,Serviços_em_alimentação,4
49,Causar_movimento,3
148,Atividade_em_andamento,3
175,Locais_políticos,3
179,Relação_locativa,3
392,Cor,3
1427,Eletroeletrônicos,3
12,Manipulação,2
48,Chegar,2
51,Partir,2
56,Colocar,2
102,Causar_dano,2
154,Atividade_preparar,2
156,Comércio_vender,2
178,Agir_intencionalmente,2
193,"Direção ",2
233,Acompanhamento,2
234,Construir,2
374,Artes_performáticas,2
379,Pegar,2
505,Fazedores_de_barulho,2
756,Obras_de_arte_físicas,2
840,Colocação_temporal,2
849,Fazer_turismo,2
957,Representação,2
1000,Tamanho,2
1120,Representante,2
1187,Plantas,2
1190,Proximidade_não_graduável,2
1423,Serviço_em_alimentação,2
40,Emoção_direcionada,1
42,Emoção_com_foco_no_experienciador,1
57,Remover,1
59,Operar_veículo,1
63,Fazer_barulho,1
70,Posição_distribuída,1
75,Tempo_relativo,1
93,Relações_pessoais,1
94,Agregado,1
105,"Tentar ",1
114,Evento_social,1
125,Especialidade,1
134,Atividade_iniciar,1
136,Processo_retomar,1
144,Acessórios_de_vestuário,1
155,Comércio_comprar,1
162,Comércio_pagar,1
215,Condições_em_saúde,1
229,Fechamento,1
239,Dormir,1
243,Criação_culinária,1
247,Respirar,1
276,Entidade_física,1
288,Vir_a_existir,1
299,Parte_interior_exterior,1
300,Formas,1
336,Foco_de_estímulo,1
356,Ingerir_substância,1
360,Assistência,1
417,Finalidade,1
456,Dizer,1
457,Mudar_postura,1
496,Artesanato,1
500,Incremento,1
510,Arquitetura_de_conexão,1
535,Origem,1
610,Atravessar,1
617,Entregar,1
748,Deslocamento_intencional,1
757,Criar_representação,1
828,Abertura,1
846,Local_animado,1
858,Locais_por_evento,1
860,Quantidade_proporcional,1
911,Emoções_por_estímulo,1
917,Irritação,1
983,Oferecer,1
995,Imagem_ótica,1
1009,Degustar,1
1046,Modo_de_viver,1
1077,Existência_circunscrita,1
1140,Nível_de_luz,1
1191,Contato_espacial,1
1292,Meios_de_transporte,1
1338,Pessoas_por_atividade_de_lazer,1
1404,Sofrer_transformação,1
1426,Utensílios,1
1426,Utensílios,1
