07-01-01,171;58;171;278;846;175;183;1187;486;183;58;175;60;611;278;524;1187;131;1000;157;1120;1000;1190;157;524;171;157;524;183;157;350;956;157;58;611;169;996;1140;748;272
07-01-02,398;157;56;123;491;716;999;398;183;618;493;491;30;398
07-01-03,58;183;277;171
07-01-04,157;623;491;1029;618;398;491
07-02-01,611;94;611;756
07-02-02,278;479;1375;278;123;359;60;123;169;176
07-02-03,756;956;611;183;58;30;337;131
07-02-04,791;956;621;956;956;252;162;238;1253;295;48;169
07-03-01,359;178;178;524;379;390;60;359;956
07-04-01,175;179;175;272
07-04-02,392;175;1029;1375;175;272
07-05-01,237;486;1270;183;374;1441;300;94;374;505;58;535;470;3;466;374;374;1441;618;535;524;466;30;337;183;278
07-05-02,58;479
07-06-01,58;490
07-07-01,94;101;535;374;374;756;535;58;60;278;94;524;94;101;382;374;1046;382
07-08-01,175;392;1190;272;398
07-08-02,921;398;1375;175;272
07-09-01,756;58;611;157;1190;535;1063;377
07-09-02,491;756;67;535;12;1375;756;490;491;176;491;756;535;957;94;71;756;1375;756;490;23
07-10-01,756;58;176;60
07-10-02,196;60;756;30;392;756;169;392;278
07-10-03,30;60;30;176;1190;618;1423
07-11-01,30;157;398;175;491;183;756;30;491;756;957;535
