video,cosine
07-01-01,0.688249
07-01-02,0.598702
07-01-03,0.387262
07-01-04,0.216621
07-02-01,0.607028
07-02-02,0.575103
07-02-03,0.792315
07-02-04,0.606696
07-03-01,0.495456
07-04-01,0.406441
07-04-02,0.34098
07-05-01,-1
07-05-02,0.470755
07-06-01,0.197351
07-07-01,0.297327
07-08-01,0.50528
07-08-02,0.65531
07-09-01,0.446247
07-09-02,0.612133
07-10-01,0.486398
07-10-02,0.535127
07-10-03,0.401659
07-11-01,0.439574
