video,cosine
07-01-01,0.768695
07-01-02,0.633062
07-01-03,0.506286
07-01-04,0.787844
07-02-01,0.405081
07-02-02,0.804749
07-02-03,0.512892
07-02-04,0.848466
07-03-01,0.770663
07-04-01,1
07-04-02,0.756612
07-05-01,0.704537
07-05-02,0.413458
07-06-01,1
07-07-01,0.808321
07-08-01,0.853932
07-08-02,0.820978
07-09-01,0.444608
07-09-02,0.640918
07-10-01,0.861292
07-10-02,0.536331
07-10-03,1
07-11-01,0.637944
