class_name,property_name,quantifier,cardinality,related_class
LocalConcept,is_classified_by,only,,Role
LocalConcept,is_defined_in,some,,Description
LocalConcept,is_expressed_by,some,,InformationObject
LocalConcept,is_participant_in,some,,Event
Method,has_constituent,only,,Object
Method,has_location,some,,Entity
Method,has_part,only,,SocialObject
Method,has_part,only,,Object
Method,is_classified_by,only,,Role
Method,is_expressed_by,some,,InformationObject
Method,is_participant_in,some,,Event
Narrative,has_constituent,only,,Object
Narrative,has_location,some,,Entity
Narrative,has_part,only,,SocialObject
Narrative,has_part,only,,Object
Narrative,is_classified_by,only,,Role
Narrative,is_expressed_by,some,,InformationObject
Narrative,is_participant_in,some,,Event
NaturalPerson,has_constituent,only,,Object
NaturalPerson,has_location,some,,Entity
NaturalPerson,has_part,only,,Object
NaturalPerson,has_part,only,,PhysicalObject
NaturalPerson,is_classified_by,only,,Role
NaturalPerson,is_participant_in,some,,Event
Norm,has_constituent,only,,Object
Norm,has_location,some,,Entity
Norm,has_part,only,,SocialObject
Norm,has_part,only,,Object
Norm,is_classified_by,only,,Role
Norm,is_expressed_by,some,,InformationObject
Norm,is_participant_in,some,,Event
Object,has_constituent,only,,Object
Object,has_location,some,,Entity
Object,has_part,only,,Object
Object,is_classified_by,only,,Role
Object,is_participant_in,some,,Event
ObjectAggregate,has_part,some,,Collection
Organism,has_constituent,only,,Object
Organism,has_location,some,,Entity
Organism,has_part,only,,PhysicalObject
Organism,has_part,only,,Object
Organism,is_classified_by,only,,Role
Organism,is_participant_in,some,,Event
Organization,acts_through,some,,PhysicalAgent
Organization,has_constituent,only,,Object
Organization,has_location,some,,Entity
Organization,has_part,only,,Object
Organization,has_part,only,,SocialObject
Organization,is_classified_by,only,,Role
Organization,is_expressed_by,some,,InformationObject
Organization,is_participant_in,some,,Event
Parameter,classifies,only,,Region
Parameter,has_constituent,only,,Object
Parameter,has_location,some,,Entity
Parameter,has_part,only,,Parameter
Parameter,has_part,only,,Concept
Parameter,has_part,only,,SocialObject
Parameter,has_part,only,,Object
Parameter,is_classified_by,only,,Role
Parameter,is_defined_in,some,,Description
Parameter,is_expressed_by,some,,InformationObject
Parameter,is_participant_in,some,,Event
Parthood,includes_part,some,,Entity
Parthood,includes_whole,some,,Entity
Parthood,is_setting_for,some,,TimeInterval
Pattern,has_constituent,only,,Object
Pattern,has_location,some,,Entity
Pattern,has_part,only,,SocialObject
Pattern,has_part,only,,Object
Pattern,is_classified_by,only,,Role
Pattern,is_expressed_by,some,,InformationObject
Pattern,is_participant_in,some,,Event
Person,has_constituent,only,,Object
Person,has_location,some,,Entity
Person,has_part,only,,Object
Person,is_classified_by,only,,Role
Person,is_participant_in,some,,Event
Personification,acts_through,some,,PhysicalAgent
Personification,has_constituent,only,,Object
Personification,has_location,some,,Entity
Personification,has_part,only,,Object
Personification,has_part,only,,SocialObject
Personification,is_classified_by,only,,Role
Personification,is_expressed_by,some,,InformationObject
Personification,is_participant_in,some,,Event
PhysicalAgent,has_constituent,only,,Object
PhysicalAgent,has_location,some,,Entity
PhysicalAgent,has_part,only,,Object
PhysicalAgent,has_part,only,,PhysicalObject
PhysicalAgent,is_classified_by,only,,Role
PhysicalAgent,is_participant_in,some,,Event
PhysicalArtifact,has_constituent,only,,Object
PhysicalArtifact,has_location,some,,Entity
PhysicalArtifact,has_part,only,,PhysicalObject
PhysicalArtifact,has_part,only,,Object
PhysicalArtifact,is_classified_by,only,,Role
PhysicalArtifact,is_described_by,some,,Plan
PhysicalArtifact,is_participant_in,some,,Event
PhysicalAttribute,has_constituent,only,,Region
PhysicalAttribute,has_part,only,,Region
PhysicalAttribute,is_region_for,only,,PhysicalObject
PhysicalAttribute,overlaps,only,,Region
PhysicalAttribute,precedes,only,,Region
PhysicalBody,has_constituent,only,,Object
PhysicalBody,has_location,some,,Entity
PhysicalBody,has_part,only,,PhysicalObject
PhysicalBody,has_part,only,,Object
PhysicalBody,is_classified_by,only,,Role
PhysicalBody,is_participant_in,some,,Event
PhysicalObject,has_constituent,only,,Object
PhysicalObject,has_location,some,,Entity
PhysicalObject,has_part,only,,PhysicalObject
PhysicalObject,has_part,only,,Object
PhysicalObject,is_classified_by,only,,Role
PhysicalObject,is_participant_in,some,,Event
PhysicalPlace,has_constituent,only,,Object
PhysicalPlace,has_location,some,,Entity
PhysicalPlace,has_part,only,,PhysicalObject
PhysicalPlace,has_part,only,,Object
PhysicalPlace,is_classified_by,only,,Role
PhysicalPlace,is_participant_in,some,,Event
Place,has_constituent,only,,Object
Place,has_location,some,,Entity
Place,has_part,only,,SocialObject
Place,has_part,only,,Object
Place,is_classified_by,only,,Role
Place,is_expressed_by,some,,InformationObject
Place,is_location_of,min,1,Entity
Place,is_participant_in,some,,Event
Plan,has_component,some,,Goal
Plan,has_constituent,only,,Object
Plan,has_location,some,,Entity
Plan,has_part,only,,SocialObject
Plan,has_part,only,,Object
Plan,is_classified_by,only,,Role
Plan,is_expressed_by,some,,InformationObject
Plan,is_participant_in,some,,Event
PlanExecution,satisfies,some,,Plan
PlanExecution,satisfies,some,,Description
Process,has_constituent,only,,Event
Process,has_part,only,,Event
Process,has_participant,some,,Object
Process,has_time_interval,some,,TimeInterval
Project,defines_role,some,,Role
Project,defines_task,some,,Task
Project,has_component,some,,Goal
Project,has_constituent,only,,Object
Project,has_location,some,,Entity
Project,has_part,only,,SocialObject
Project,has_part,only,,Object
Project,is_classified_by,only,,Role
Project,is_expressed_by,some,,InformationObject
Project,is_participant_in,some,,Event
Quality,has_constituent,only,,Quality
Quality,has_part,only,,Quality
Quality,has_region,some,,Region
Quality,is_quality_of,some,,Entity
Region,has_constituent,only,,Region
Region,has_part,only,,Region
Region,overlaps,only,,Region
Region,precedes,only,,Region
Relation,has_constituent,only,,Object
Relation,has_location,some,,Entity
Relation,has_part,only,,SocialObject
Relation,has_part,only,,Object
Relation,is_classified_by,only,,Role
Relation,is_expressed_by,some,,InformationObject
Relation,is_participant_in,some,,Event
Right,defines_role,min,2,Person
Right,defines_task,min,1,Task
Right,has_constituent,only,,Object
Right,has_location,some,,Entity
Right,has_part,only,,SocialObject
Right,has_part,only,,Object
Right,is_classified_by,only,,Role
Right,is_expressed_by,some,,InformationObject
Right,is_participant_in,some,,Event
Role,classifies,only,,Object
Role,has_constituent,only,,Object
Role,has_location,some,,Entity
Role,has_part,only,,Role
Role,has_part,only,,Concept
Role,has_part,only,,SocialObject
Role,has_part,only,,Object
Role,is_classified_by,only,,Role
Role,is_defined_in,some,,Description
Role,is_expressed_by,some,,InformationObject
Role,is_participant_in,some,,Event
Situation,satisfies,some,,Description
SocialAgent,acts_through,some,,PhysicalAgent
SocialAgent,has_constituent,only,,Object
SocialAgent,has_location,some,,Entity
SocialAgent,has_part,only,,Object
SocialAgent,has_part,only,,SocialObject
SocialAgent,is_classified_by,only,,Role
SocialAgent,is_expressed_by,some,,InformationObject
SocialAgent,is_participant_in,some,,Event
SocialObject,has_constituent,only,,Object
SocialObject,has_location,some,,Entity
SocialObject,has_part,only,,SocialObject
SocialObject,has_part,only,,Object
SocialObject,is_classified_by,only,,Role
SocialObject,is_expressed_by,some,,InformationObject
SocialObject,is_participant_in,some,,Event
SocialObjectAttribute,has_constituent,only,,Region
SocialObjectAttribute,has_part,only,,Region
SocialObjectAttribute,is_region_for,only,,SocialObject
SocialObjectAttribute,overlaps,only,,Region
SocialObjectAttribute,precedes,only,,Region
SocialPerson,acts_through,some,,PhysicalAgent
SocialPerson,has_constituent,only,,Object
SocialPerson,has_location,some,,Entity
SocialPerson,has_part,only,,Object
SocialPerson,has_part,only,,SocialObject
SocialPerson,is_classified_by,only,,Role
SocialPerson,is_expressed_by,some,,InformationObject
SocialPerson,is_participant_in,some,,Event
SocialRelation,has_constituent,only,,Object
SocialRelation,has_location,some,,Entity
SocialRelation,has_part,only,,SocialObject
SocialRelation,has_part,only,,Object
SocialRelation,is_classified_by,only,,Role
SocialRelation,is_expressed_by,some,,InformationObject
SocialRelation,is_participant_in,some,,Event
SpaceRegion,has_constituent,only,,Region
SpaceRegion,has_part,only,,Region
SpaceRegion,overlaps,only,,Region
SpaceRegion,precedes,only,,Region
SpatioTemporalRegion,has_constituent,only,,Region
SpatioTemporalRegion,has_constituent,some,,SpaceRegion
SpatioTemporalRegion,has_constituent,some,,TimeInterval
SpatioTemporalRegion,has_part,only,,Region
SpatioTemporalRegion,overlaps,only,,Region
SpatioTemporalRegion,precedes,only,,Region
Substance,has_constituent,only,,Object
Substance,has_location,some,,Entity
Substance,has_part,only,,PhysicalObject
Substance,has_part,only,,Object
Substance,is_classified_by,only,,Role
Substance,is_participant_in,some,,Event
Task,classifies,only,,Event
Task,has_constituent,only,,Object
Task,has_location,some,,Entity
Task,has_part,only,,Task
Task,has_part,only,,Concept
Task,has_part,only,,SocialObject
Task,has_part,only,,Object
Task,is_classified_by,only,,Role
Task,is_defined_in,some,,Description
Task,is_executed_in,only,,Action
Task,is_expressed_by,some,,InformationObject
Task,is_participant_in,some,,Event
