idEntity1,idEntity2,idEntity3
2749814,2749733,2749752
2749814,2749734,2749753
2749814,2749735,2749767
2749814,2749736,2749788
2749814,2749737,2749779
2749814,2749738,2749779
2749814,2749739,2749805
2749814,2749740,2749795
2749814,2749741,2749740
2749814,2749742,2749794
2749814,2749743,2749742
2749814,2749744,2749795
2749814,2749745,2749740
2749814,2749746,2749747
2749814,2749747,2749795
2749814,2749748,2749747
2749814,2749749,2749777
2749814,2749751,2749747
2749814,2749753,2749752
2749814,2749754,2749744
2749814,2749755,2749733
2749814,2749756,2749801
2749814,2749757,2749747
2749814,2749758,2749742
2749814,2749760,2749795
2749814,2749762,2749744
2749814,2749763,2749747
2749814,2749764,2749747
2749814,2749765,2749774
2749814,2749765,2749776
2749814,2749766,2749747
2749814,2749767,2749752
2749814,2749769,2749737
2749814,2749769,2749776
2749814,2749770,2749794
2749814,2749771,2749744
2749814,2749772,2749805
2749814,2749773,2749789
2749814,2749774,2749735
2749814,2749775,2749794
2749814,2749776,2749735
2749814,2749776,2749780
2749814,2749777,2749780
2749814,2749778,2749788
2749814,2749779,2749780
2749814,2749780,2749767
2749814,2749781,2749780
2749814,2749782,2749795
2749814,2749783,2749747
2749814,2749784,2749793
2749814,2749785,2749753
2749814,2749786,2749783
2749814,2749787,2749752
2749814,2749788,2749733
2749814,2749789,2749747
2749814,2749790,2749747
2749814,2749791,2749744
2749814,2749792,2749755
2749814,2749793,2749752
2749814,2749794,2749735
2749814,2749794,2749795
2749814,2749795,2749767
2749814,2749796,2749788
2749814,2749797,2749774
2749814,2749797,2749794
2749814,2749798,2749789
2749814,2749799,2749788
2749814,2749801,2749779
2749814,2749802,2749754
2749814,2749803,2749747
2749814,2749805,2749793
2749814,2749806,2749788
2749814,2749807,2749793
2749814,2749808,2749740
2749814,2749809,2749771
2749814,2749810,2749783
2749814,2749811,2749793
