idEntity1,idEntity2,idEntity3
2748009,2747740,2749752
2748012,2747741,2749767
2748012,2747742,2749767
2748059,2747745,2749753
2747985,2747738,2749776
2748007,2747753,2749788
2748083,2747756,2749788
2748012,2747754,2749788
2748068,2747755,2749795
2748085,2747757,2749788
2748037,2747750,2749791
2748007,2747746,2749767
2748051,2747751,2749760
2748009,2747747,2749752
2748012,2747748,2749767
2748012,2747749,2749767
2748059,2747752,2749753
2748037,2747763,2749791
2748007,2747759,2749767
2748051,2747764,2749760
2748009,2747760,2749752
2748012,2747761,2749767
2748012,2747762,2749767
2748059,2747765,2749753
2747985,2747758,2749776
2748037,2747770,2749791
2748007,2747766,2749767
2748051,2747771,2749760
2748009,2747767,2749752
2748012,2747768,2749767
2748012,2747769,2749767
2748059,2747772,2749753
2748007,2747773,2749788
2748083,2747775,2749788
2748012,2747774,2749788
2748085,2747776,2749788
2748007,2747777,2749788
2748007,2747778,2749788
2748007,2747779,2749788
2748083,2747781,2749788
2748012,2747780,2749788
2748085,2747782,2749788
2748037,2747787,2749791
2748007,2747783,2749767
2748009,2747784,2749752
2748012,2747785,2749767
2748012,2747786,2749767
2748059,2747788,2749753
2747988,2747789,2749753
2747988,2747796,2749753
2748007,2747790,2749767
2748046,2747797,2749747
2748049,2747798,2749734
2748051,2747799,2749760
2748009,2747791,2749752
2748059,2747792,2749753
2748059,2747793,2749753
2748059,2747794,2749753
2748059,2747795,2749753
2748059,2747800,2749753
2748077,2747802,2749791
2748076,2747801,2749747
2748037,2747808,2749791
2748006,2747803,2749789
2748007,2747804,2749767
2748051,2747809,2749760
2748009,2747805,2749752
2748012,2747806,2749767
2748012,2747807,2749767
2748059,2747810,2749753
2748007,2747812,2749788
2748083,2747814,2749788
2748012,2747813,2749788
2748085,2747815,2749788
2748072,2747811,2749806
2748025,2747816,2749753
2748026,2747817,2749767
2748090,2747820,2749747
2748072,2747818,2749785
2748072,2747819,2749785
2748037,2747826,2749791
2748007,2747821,2749767
2748051,2747827,2749760
2748009,2747822,2749752
2748012,2747823,2749767
2748012,2747824,2749767
2748012,2747825,2749767
2748059,2747828,2749753
2747988,2747836,2749788
2747988,2747829,2749788
2748007,2747830,2749767
2748046,2747837,2749747
2748051,2747838,2749760
2748009,2747831,2749752
2748084,2747840,2749788
2748012,2747832,2749767
2748012,2747833,2749767
2748012,2747834,2749767
2748012,2747835,2749767
2748059,2747839,2749753
2748037,2747848,2749791
2748006,2747843,2749757
2748007,2747844,2749767
2748051,2747849,2749760
2748009,2747845,2749752
2748012,2747846,2749767
2748012,2747847,2749767
2748059,2747850,2749753
2747994,2747841,2749791
2747995,2747842,2749802
2748090,2747851,2749810
2748090,2747852,2749810
