idEntity1,idEntity2,idEntity3
2749814,2747984,2747986
2749814,2747985,2747986
2749814,2747987,2747986
2749814,2747988,2747986
2749814,2747989,2747986
2749814,2747990,2747986
2749814,2747991,2747986
2749814,2747992,2747986
2749814,2747993,2748093
2749814,2747994,2747993
2749814,2747995,2747993
2749814,2747996,2747986
2749814,2747997,2748004
2749814,2747998,2748085
2749814,2747999,2748037
2749814,2748000,2748095
2749814,2748001,2747986
2749814,2748002,2748001
2749814,2748003,2747986
2749814,2748004,2747986
2749814,2748005,2747986
2749814,2748006,2748016
2749814,2748007,2747986
2749814,2748008,2748037
2749814,2748009,2747986
2749814,2748010,2747986
2749814,2748011,2748094
2749814,2748012,2747986
2749814,2748013,2747986
2749814,2748014,2747998
2749814,2748015,2747997
2749814,2748016,2748012
2749814,2748017,2747986
2749814,2748018,2747986
2749814,2748019,2748037
2749814,2748020,2747986
2749814,2748021,2748094
2749814,2748022,2748018
2749814,2748023,2748025
2749814,2748024,2748026
2749814,2748025,2748072
2749814,2748026,2748072
2749814,2748028,2748072
2749814,2748030,2747986
2749814,2748031,2748013
2749814,2748032,2747986
2749814,2748033,2748048
2749814,2748034,2748055
2749814,2748035,2748059
2749814,2748036,2747986
2749814,2748037,2747986
2749814,2748038,2748063
2749814,2748040,2748051
2749814,2748041,2747986
2749814,2748039,2747986
2749814,2748042,2747986
2749814,2748043,2747986
2749814,2748044,2747988
2749814,2748045,2747986
2749814,2748046,2748041
2749814,2748047,2747986
2749814,2748048,2748020
2749814,2748049,2747988
2749814,2748050,2748095
2749814,2748051,2747986
2749814,2748052,2747986
2749814,2748053,2747986
2749814,2748054,2747986
2749814,2748055,2748020
2749814,2748056,2748018
2749814,2748057,2748094
2749814,2748058,2748037
2749814,2748060,2747986
2749814,2748059,2747986
2749814,2748061,2747997
2749814,2748062,2747998
2749814,2748063,2748060
2749814,2748064,2747986
2749814,2748065,2747986
2749814,2748066,2747986
2749814,2748067,2747986
2749814,2748068,2747986
2749814,2748094,2747986
2749814,2748095,2747986
2749814,2748069,2748046
2749814,2748070,2747988
2749814,2748071,2747986
2749814,2748072,2747986
2749814,2748073,2747986
2749814,2748074,2747997
2749814,2748074,2748094
2749814,2748075,2747998
2749814,2748075,2748094
2749814,2748076,2748046
2749814,2748077,2748094
2749814,2748078,2748020
2749814,2748079,2748068
2749814,2748080,2748068
2749814,2748081,2747986
2749814,2748082,2747986
2749814,2748083,2747986
2749814,2748084,2747988
2749814,2748085,2747986
2749814,2748086,2747986
2749814,2748087,2747986
2749814,2748089,2747986
2749814,2748090,2747986
2749814,2748091,2747986
2749814,2748092,2747986
2749814,2748093,2747986
